Job name,Duration (seconds),Time of execution,Result
AMS.AcceptanceTests.Web,237,2017-04-03T11:14:13Z,SUCCESS
AMS.AcceptanceTests.Web,241,2017-03-27T15:09:13Z,SUCCESS
AMS.AcceptanceTests.Web,247,2017-03-27T13:01:53Z,SUCCESS
AMS.AcceptanceTests.Web,259,2017-03-23T10:49:47Z,SUCCESS
AMS.AcceptanceTests.Web,230,2017-03-23T10:36:47Z,SUCCESS
AMS.AcceptanceTests.Web,237,2017-03-21T14:46:52Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-03-16T11:42:24Z,SUCCESS
AMS.AcceptanceTests.Web,250,2017-03-16T11:20:44Z,SUCCESS
AMS.AcceptanceTests.Web,241,2017-03-16T11:10:25Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-03-16T10:37:49Z,SUCCESS
AMS.AcceptanceTests.Web,234,2017-03-16T09:35:04Z,SUCCESS
AMS.AcceptanceTests.Web,253,2017-03-15T16:23:26Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-03-15T14:46:36Z,SUCCESS
AMS.AcceptanceTests.Web,234,2017-03-15T08:27:53Z,SUCCESS
AMS.AcceptanceTests.Web,259,2017-03-14T14:24:25Z,SUCCESS
AMS.AcceptanceTests.Web,250,2017-03-14T09:29:48Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-03-13T09:25:20Z,SUCCESS
AMS.AcceptanceTests.Web,238,2017-03-13T08:58:45Z,SUCCESS
AMS.AcceptanceTests.Web,234,2017-03-10T08:54:46Z,SUCCESS
AMS.AcceptanceTests.Web,250,2017-03-10T08:37:41Z,SUCCESS
AMS.AcceptanceTests.Web,247,2017-03-09T15:48:08Z,SUCCESS
AMS.AcceptanceTests.Web,249,2017-03-09T14:10:59Z,SUCCESS
AMS.AcceptanceTests.Web,237,2017-03-09T08:45:30Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-03-07T14:30:43Z,SUCCESS
AMS.AcceptanceTests.Web,248,2017-03-07T10:47:32Z,SUCCESS
AMS.AcceptanceTests.Web,252,2017-03-07T10:38:03Z,SUCCESS
