Job name,Duration (seconds),Time of execution,Result
API.ClientLibrary.NET.UnitTest,5,2017-05-31T11:00:31Z,SUCCESS
API.ClientLibrary.NET.UnitTest,5,2017-05-31T10:52:06Z,SUCCESS
API.ClientLibrary.NET.UnitTest,5,2017-05-31T10:12:22Z,SUCCESS
API.ClientLibrary.NET.UnitTest,5,2017-05-31T09:50:06Z,SUCCESS
API.REST.AcceptanceTest,245,2017-09-28T16:07:14Z,SUCCESS
API.REST.AcceptanceTest,245,2017-09-28T15:57:44Z,SUCCESS
API.REST.AcceptanceTest,250,2017-09-28T15:51:19Z,SUCCESS
API.REST.AcceptanceTest,250,2017-09-28T09:46:49Z,SUCCESS
API.REST.AcceptanceTest,255,2017-09-26T09:03:32Z,SUCCESS
API.REST.AcceptanceTest,247,2017-09-22T11:07:55Z,SUCCESS
API.REST.AcceptanceTest,243,2017-09-11T13:41:11Z,SUCCESS
API.REST.AcceptanceTest,253,2017-08-29T14:24:26Z,SUCCESS
API.REST.IntegrationTest,38,2017-09-28T16:07:14Z,SUCCESS
API.REST.IntegrationTest,39,2017-09-28T15:57:44Z,SUCCESS
API.REST.IntegrationTest,43,2017-09-28T15:51:19Z,SUCCESS
API.REST.IntegrationTest,40,2017-09-28T15:41:59Z,SUCCESS
API.REST.IntegrationTest,43,2017-09-28T15:32:24Z,SUCCESS
API.REST.IntegrationTest,39,2017-09-28T15:16:14Z,SUCCESS
API.REST.IntegrationTest,43,2017-09-28T15:01:38Z,SUCCESS
API.REST.IntegrationTest,40,2017-09-28T14:50:48Z,SUCCESS
API.REST.IntegrationTest,42,2017-09-28T14:44:58Z,SUCCESS
API.REST.IntegrationTest,41,2017-09-28T09:46:49Z,SUCCESS
API.REST.IntegrationTest,42,2017-09-26T09:03:32Z,SUCCESS
API.REST.IntegrationTest,41,2017-09-26T08:43:37Z,SUCCESS
API.REST.IntegrationTest,40,2017-09-22T11:07:55Z,SUCCESS
API.REST.IntegrationTest,40,2017-09-22T11:00:10Z,SUCCESS
API.REST.IntegrationTest,40,2017-09-22T10:32:25Z,SUCCESS
API.REST.IntegrationTest,39,2017-09-11T13:41:11Z,SUCCESS
API.REST.IntegrationTest,40,2017-09-11T13:32:06Z,SUCCESS
API.REST.IntegrationTest,41,2017-09-11T13:00:05Z,SUCCESS
API.REST.IntegrationTest,42,2017-09-11T10:58:49Z,SUCCESS
API.REST.IntegrationTest,43,2017-09-11T10:50:29Z,SUCCESS
API.REST.IntegrationTest,41,2017-09-11T10:34:44Z,SUCCESS
API.REST.IntegrationTest,45,2017-09-06T09:01:19Z,SUCCESS
API.REST.IntegrationTest,44,2017-08-29T14:24:26Z,SUCCESS
API.REST.SmokeTests.Run,15,2017-09-29T08:26:30Z,SUCCESS
API.REST.SmokeTests.Run,17,2017-09-29T08:24:25Z,SUCCESS
API.REST.SmokeTests.Run,18,2017-09-29T08:22:20Z,SUCCESS
API.REST.SmokeTests.Run,19,2017-09-29T08:19:55Z,SUCCESS
API.REST.SmokeTests.Run,17,2017-09-29T08:17:35Z,SUCCESS
API.REST.SmokeTests.Run,17,2017-09-28T16:15:15Z,SUCCESS
API.REST.SmokeTests.Run,14,2017-09-28T16:14:29Z,SUCCESS
API.REST.SmokeTests.Run,15,2017-09-28T14:55:38Z,SUCCESS
API.REST.SmokeTests.Run,14,2017-09-28T14:54:53Z,SUCCESS
API.REST.SmokeTests.Run,18,2017-09-28T11:09:50Z,SUCCESS
API.REST.SmokeTests.Run,15,2017-09-28T10:43:45Z,SUCCESS
API.REST.SmokeTests.Run,18,2017-09-28T10:40:55Z,SUCCESS
API.REST.SmokeTests.Run,21,2017-09-28T10:37:55Z,SUCCESS
API.REST.SmokeTests.Run,17,2017-09-28T10:35:30Z,SUCCESS
API.REST.SmokeTests.Run,16,2017-09-26T09:29:57Z,SUCCESS
API.REST.Test,246,2017-09-28T16:07:14Z,SUCCESS
API.REST.Test,245,2017-09-28T15:57:44Z,SUCCESS
API.REST.Test,250,2017-09-28T15:51:19Z,SUCCESS
API.REST.Test,250,2017-09-28T09:46:49Z,SUCCESS
API.REST.Test,256,2017-09-26T09:03:32Z,SUCCESS
API.REST.Test,247,2017-09-22T11:07:55Z,SUCCESS
API.REST.Test,243,2017-09-11T13:41:11Z,SUCCESS
API.REST.Test,253,2017-08-29T14:24:26Z,SUCCESS
API.REST.UnitTest,119,2017-09-28T16:07:14Z,SUCCESS
API.REST.UnitTest,120,2017-09-28T15:57:44Z,SUCCESS
API.REST.UnitTest,122,2017-09-28T15:51:19Z,SUCCESS
API.REST.UnitTest,118,2017-09-28T15:41:59Z,SUCCESS
API.REST.UnitTest,119,2017-09-28T15:32:24Z,SUCCESS
API.REST.UnitTest,120,2017-09-28T15:25:54Z,SUCCESS
API.REST.UnitTest,120,2017-09-28T15:16:14Z,SUCCESS
API.REST.UnitTest,120,2017-09-28T15:01:38Z,SUCCESS
API.REST.UnitTest,120,2017-09-28T14:50:48Z,SUCCESS
API.REST.UnitTest,121,2017-09-28T14:44:58Z,SUCCESS
API.REST.UnitTest,123,2017-09-28T09:46:49Z,SUCCESS
API.REST.UnitTest,121,2017-09-26T09:03:32Z,SUCCESS
API.REST.UnitTest,122,2017-09-26T08:43:37Z,SUCCESS
API.REST.UnitTest,118,2017-09-22T11:07:55Z,SUCCESS
API.REST.UnitTest,120,2017-09-22T11:00:10Z,SUCCESS
API.REST.UnitTest,117,2017-09-11T13:41:11Z,SUCCESS
API.REST.UnitTest,118,2017-09-11T13:32:06Z,SUCCESS
API.REST.UnitTest,120,2017-09-11T13:00:05Z,SUCCESS
API.REST.UnitTest,121,2017-09-11T10:58:49Z,SUCCESS
API.REST.UnitTest,126,2017-09-11T10:50:29Z,SUCCESS
API.REST.UnitTest,130,2017-09-11T10:34:44Z,SUCCESS
API.REST.UnitTest,129,2017-09-06T09:01:19Z,SUCCESS
API.REST.UnitTest,121,2017-08-29T14:24:26Z,SUCCESS
apps.abtest.build,21,2017-09-04T10:09:37Z,SUCCESS
apps.abtest.build,16,2017-04-27T10:32:30Z,SUCCESS
apps.abtest.ui.deploy,29,2017-09-06T08:33:49Z,SUCCESS
apps.abtest.ui.deploy,22,2017-09-04T10:26:13Z,SUCCESS
apps.abtest.ui.deploy,24,2017-09-04T10:21:01Z,SUCCESS
apps.abtest.ui.deploy,25,2017-09-04T10:18:23Z,SUCCESS
apps.abtest.ui.deploy,21,2017-09-04T10:15:57Z,SUCCESS
apps.abtest.ui.deploy,22,2017-09-04T10:14:15Z,SUCCESS
apps.abtest.ui.deploy,20,2017-09-04T10:12:40Z,SUCCESS
apps.abtest.ui.deploy,20,2017-09-04T10:11:55Z,SUCCESS
apps.abtest.ui.publish,17,2017-09-04T10:10:13Z,SUCCESS
apps.abtest.ui.publish,12,2017-04-27T10:32:59Z,SUCCESS
apps.developertools.acceptancetests,154,2017-07-19T12:38:24Z,SUCCESS
apps.developertools.acceptancetests,148,2017-07-19T12:34:23Z,SUCCESS
apps.developertools.acceptancetests,96,2017-07-19T12:31:13Z,SUCCESS
apps.developertools.acceptancetests,151,2017-05-08T12:35:43Z,SUCCESS
apps.developertools.acceptancetests,160,2017-05-08T12:31:33Z,SUCCESS
apps.developertools.acceptancetests,149,2017-05-04T14:35:59Z,SUCCESS
apps.developertools.acceptancetests,158,2017-05-04T14:31:53Z,SUCCESS
apps.developertools.acceptancetests,153,2017-05-04T09:07:29Z,SUCCESS
apps.developertools.acceptancetests,153,2017-05-04T09:03:29Z,SUCCESS
apps.developertools.acceptancetests,95,2017-05-04T09:00:24Z,SUCCESS
apps.developertools.acceptancetests,149,2017-05-03T11:08:34Z,SUCCESS
apps.developertools.acceptancetests,158,2017-05-03T11:04:28Z,SUCCESS
apps.developertools.acceptancetests,95,2017-05-03T11:01:23Z,SUCCESS
apps.developertools.acceptancetests,98,2017-04-27T15:56:54Z,SUCCESS
apps.developertools.acceptancetests,159,2017-04-13T09:55:27Z,SUCCESS
apps.developertools.acceptancetests,166,2017-04-13T09:52:41Z,SUCCESS
apps.developertools.acceptancetests,103,2017-04-13T09:46:17Z,SUCCESS
apps.echo.stagingtests,1426,2017-09-11T15:50:47Z,SUCCESS
apps.echo.stagingtests,1429,2017-09-11T13:26:54Z,SUCCESS
apps.echo.stagingtests,2185,2017-08-10T09:51:17Z,SUCCESS
apps.echoemail.smoketests,65,2017-06-12T11:48:12Z,SUCCESS
apps.echoemail.stagingtests,266,2017-09-22T17:02:47Z,SUCCESS
apps.echoemail.stagingtests,281,2017-09-22T16:53:47Z,SUCCESS
apps.echoemail.stagingtests,269,2017-09-22T16:19:03Z,SUCCESS
apps.echoemail.stagingtests,273,2017-09-22T16:09:53Z,SUCCESS
apps.echoemail.stagingtests,284,2017-09-22T14:51:52Z,SUCCESS
apps.echoemail.stagingtests,291,2017-09-22T14:42:17Z,SUCCESS
apps.echoemail.stagingtests,286,2017-09-19T15:29:22Z,SUCCESS
apps.echoemail.stagingtests,292,2017-09-19T15:19:52Z,SUCCESS
apps.echoemail.stagingtests,282,2017-09-19T10:49:41Z,SUCCESS
apps.echoemail.stagingtests,289,2017-09-19T10:40:16Z,SUCCESS
apps.echoemail.stagingtests,276,2017-09-18T17:21:14Z,SUCCESS
apps.echoemail.stagingtests,296,2017-09-18T17:11:44Z,SUCCESS
apps.echoemail.stagingtests,275,2017-09-18T13:29:26Z,SUCCESS
apps.echoemail.stagingtests,285,2017-09-18T13:20:01Z,SUCCESS
apps.echoemail.stagingtests,279,2017-09-18T12:08:24Z,SUCCESS
apps.echoemail.stagingtests,286,2017-09-18T11:24:43Z,SUCCESS
apps.echoemail.stagingtests,290,2017-09-18T11:14:53Z,SUCCESS
Apps.HNSD.Web.JsTest,17,2017-09-06T10:48:32Z,SUCCESS
Apps.HNSD.Web.JsTest,15,2017-07-26T09:22:22Z,SUCCESS
Apps.HNSD.Web.UnitTests,7,2017-09-06T10:48:12Z,SUCCESS
Apps.HNSD.Web.UnitTests,8,2017-07-26T09:22:02Z,SUCCESS
Apps.HNSD.WindowsService.IntegrationTests,26,2017-09-06T10:48:32Z,SUCCESS
Apps.HNSD.WindowsService.IntegrationTests,24,2017-07-26T09:22:22Z,SUCCESS
Apps.HNSD.WindowsService.UnitTests,9,2017-09-06T10:48:12Z,SUCCESS
Apps.HNSD.WindowsService.UnitTests,8,2017-07-26T09:22:02Z,SUCCESS
apps.home.acceptancetests,43,2017-05-09T15:53:25Z,SUCCESS
apps.home.acceptancetests,43,2017-05-09T15:50:30Z,SUCCESS
apps.home.acceptancetests,26,2017-05-09T15:47:49Z,SUCCESS
apps.home.acceptancetests,27,2017-04-27T13:51:35Z,SUCCESS
apps.home.acceptancetests,44,2017-04-13T09:57:26Z,SUCCESS
apps.home.acceptancetests,31,2017-04-13T09:54:51Z,SUCCESS
apps.home.acceptancetests,39,2017-04-13T09:35:59Z,SUCCESS
apps.login.smoketests,32,2017-09-12T08:18:41Z,SUCCESS
apps.login.smoketests,44,2017-09-12T08:16:21Z,SUCCESS
apps.login.smoketests,27,2017-09-12T08:14:06Z,SUCCESS
apps.login.smoketests,30,2017-07-13T14:40:08Z,SUCCESS
apps.login.smoketests,32,2017-07-13T14:37:38Z,SUCCESS
apps.login.smoketests,29,2017-07-13T14:35:13Z,SUCCESS
apps.login.smoketests,21,2017-07-13T11:47:30Z,SUCCESS
apps.login.smoketests,30,2017-07-13T11:15:38Z,SUCCESS
apps.login.smoketests,42,2017-07-13T11:13:07Z,SUCCESS
apps.login.smoketests,32,2017-07-12T15:10:04Z,SUCCESS
apps.login.smoketests,32,2017-07-12T15:07:39Z,SUCCESS
apps.login.smoketests,42,2017-07-12T14:40:43Z,SUCCESS
apps.login.smoketests,34,2017-05-25T13:35:25Z,SUCCESS
apps.login.smoketests,39,2017-05-25T13:33:00Z,SUCCESS
apps.login.smoketests,33,2017-05-25T13:04:44Z,SUCCESS
apps.login.smoketests,33,2017-05-09T14:43:41Z,SUCCESS
apps.login.smoketests,39,2017-05-09T14:40:30Z,SUCCESS
apps.login.smoketests,41,2017-04-28T13:21:43Z,SUCCESS
apps.login2.acceptancetests,63,2017-09-12T08:17:36Z,SUCCESS
apps.login2.acceptancetests,73,2017-09-12T08:15:06Z,SUCCESS
apps.login2.acceptancetests,47,2017-09-12T08:13:16Z,SUCCESS
apps.login2.acceptancetests,87,2017-07-13T14:38:38Z,SUCCESS
apps.login2.acceptancetests,84,2017-07-13T14:36:13Z,SUCCESS
apps.login2.acceptancetests,45,2017-07-13T14:34:23Z,SUCCESS
apps.login2.acceptancetests,36,2017-07-13T11:46:52Z,SUCCESS
apps.login2.acceptancetests,77,2017-07-13T11:14:17Z,SUCCESS
apps.login2.acceptancetests,80,2017-07-13T11:11:42Z,SUCCESS
apps.login2.acceptancetests,83,2017-07-12T15:08:39Z,SUCCESS
apps.login2.acceptancetests,73,2017-07-12T15:06:24Z,SUCCESS
apps.login2.acceptancetests,74,2017-07-12T14:39:23Z,SUCCESS
apps.smoketests.run,19,2017-09-14T10:21:12Z,SUCCESS
apps.smoketests.run,19,2017-09-14T10:17:47Z,SUCCESS
apps.smoketests.run,19,2017-09-14T10:13:47Z,SUCCESS
apps.smoketests.run,21,2017-09-14T10:09:02Z,SUCCESS
apps.smoketests.run,10,2017-09-14T10:04:52Z,SUCCESS
apps.smoketests.run,12,2017-09-12T09:40:22Z,SUCCESS
apps.smoketests.run,14,2017-09-12T09:37:02Z,SUCCESS
apps.smoketests.run,11,2017-09-12T09:30:17Z,SUCCESS
apps.smoketests.run,11,2017-09-12T09:20:26Z,SUCCESS
apps.smoketests.run,11,2017-09-12T09:13:56Z,SUCCESS
apps.smoketests.run,25,2017-09-12T09:07:36Z,SUCCESS
apps.smoketests.run,21,2017-09-04T12:52:09Z,SUCCESS
apps.smoketests.run,20,2017-09-04T12:48:29Z,SUCCESS
apps.smoketests.run,19,2017-09-04T12:43:54Z,SUCCESS
apps.smoketests.run,20,2017-09-04T12:38:34Z,SUCCESS
apps.smoketests.run,12,2017-09-04T12:34:49Z,SUCCESS
apps.smoketests.run,15,2017-09-04T12:31:19Z,SUCCESS
apps.smoketests.run,15,2017-08-29T14:36:11Z,SUCCESS
apps.smoketests.run,12,2017-08-29T14:33:46Z,SUCCESS
apps.smoketests.run,13,2017-08-29T14:32:26Z,SUCCESS
apps.smoketests.run,15,2017-08-29T14:28:56Z,SUCCESS
apps.smoketests.run,11,2017-08-29T14:28:01Z,SUCCESS
apps.smoketests.run,11,2017-08-23T14:36:22Z,SUCCESS
apps.smoketests.run,10,2017-08-23T13:44:57Z,SUCCESS
apps.smoketests.run,11,2017-08-23T13:11:47Z,SUCCESS
apps.smoketests.run,16,2017-08-23T13:07:12Z,SUCCESS
apps.smoketests.run,19,2017-08-23T08:48:35Z,SUCCESS
apps.smoketests.run,23,2017-08-23T08:41:00Z,SUCCESS
apps.smoketests.run,21,2017-08-23T08:39:30Z,SUCCESS
apps.smoketests.run,24,2017-08-23T08:36:05Z,SUCCESS
apps.smoketests.run,14,2017-08-23T08:32:50Z,SUCCESS
apps.smoketests.run,12,2017-08-22T09:08:47Z,SUCCESS
