Job name,Duration,Time of execution,Result
AMS.AcceptanceTests.Web,380311,2016-11-30T08:48:20Z,SUCCESS
AMS.AcceptanceTests.Web,420868,2016-11-29T09:13:15Z,SUCCESS
AMS.AcceptanceTests.Web,420641,2016-11-29T09:06:12Z,SUCCESS
AMS.AcceptanceTests.Web,395246,2016-11-29T08:34:44Z,SUCCESS
AMS.AcceptanceTests.Web,387911,2016-11-28T15:14:51Z,SUCCESS
AMS.AcceptanceTests.Web,390134,2016-11-25T15:49:06Z,SUCCESS
AMS.AcceptanceTests.Web,386165,2016-11-25T11:15:16Z,SUCCESS
AMS.AcceptanceTests.Web,579123,2016-11-22T15:52:45Z,SUCCESS
AMS.AcceptanceTests.Web,388287,2016-11-22T14:59:16Z,SUCCESS
AMS.AcceptanceTests.Web,391701,2016-11-22T14:43:31Z,SUCCESS
AMS.AcceptanceTests.Web,518847,2016-11-22T14:03:21Z,SUCCESS
AMS.AcceptanceTests.Web,620983,2016-11-22T13:12:15Z,SUCCESS
AMS.AcceptanceTests.Web,971263,2016-11-22T12:56:03Z,SUCCESS
AMS.AcceptanceTests.Web,375787,2016-11-22T11:43:45Z,SUCCESS
AMS.AcceptanceTests.Web,515701,2016-11-22T09:21:23Z,SUCCESS
AMS.AcceptanceTests.Web,376050,2016-11-22T08:36:27Z,SUCCESS
AMS.AcceptanceTests.Web,378099,2016-11-21T15:52:54Z,SUCCESS
AMS.AcceptanceTests.Web,390921,2016-11-21T14:16:31Z,SUCCESS
AMS.AcceptanceTests.Web,376775,2016-11-21T11:29:01Z,SUCCESS
AMS.AcceptanceTests.Web,410995,2016-11-21T10:04:46Z,SUCCESS
AMS.AcceptanceTests.Web,369876,2016-11-21T09:58:17Z,SUCCESS
AMS.AcceptanceTests.Web,395498,2016-11-21T09:03:28Z,SUCCESS
AMS.AcceptanceTests.Web,371123,2016-11-21T08:09:31Z,SUCCESS
AMS.AcceptanceTests.Web,374087,2016-11-18T13:35:50Z,SUCCESS
AMS.AcceptanceTests.Web,384010,2016-11-18T13:20:58Z,SUCCESS
AMS.AcceptanceTests.Web,363753,2016-11-18T10:17:30Z,SUCCESS
AMS.AcceptanceTests.Web,377602,2016-11-17T16:19:25Z,SUCCESS
AMS.AcceptanceTests.Web,377851,2016-11-17T14:44:46Z,SUCCESS
AMS.AcceptanceTests.Web,376809,2016-11-17T14:12:30Z,SUCCESS
AMS.AcceptanceTests.Web,363643,2016-11-17T13:19:55Z,SUCCESS
AMS.AcceptanceTests.Web,578364,2016-11-17T08:39:35Z,SUCCESS
AMS.AcceptanceTests.Web,373706,2016-11-16T14:01:58Z,SUCCESS
AMS.AcceptanceTests.Web,372905,2016-11-16T12:14:24Z,SUCCESS
