Job name,Duration (seconds),Time of execution,Result
AMS.AcceptanceTests.Web,235,2017-02-13T12:37:10Z,SUCCESS
AMS.AcceptanceTests.Web,238,2017-02-13T11:56:59Z,SUCCESS
AMS.AcceptanceTests.Web,254,2017-02-13T11:39:32Z,SUCCESS
AMS.AcceptanceTests.Web,254,2017-02-13T08:54:27Z,SUCCESS
AMS.AcceptanceTests.Web,236,2017-02-10T13:26:30Z,SUCCESS
AMS.AcceptanceTests.Web,254,2017-02-10T11:53:50Z,SUCCESS
AMS.AcceptanceTests.Web,242,2017-02-10T11:18:10Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-02-10T10:29:55Z,SUCCESS
AMS.AcceptanceTests.Web,252,2017-02-10T10:03:51Z,SUCCESS
AMS.AcceptanceTests.Web,238,2017-02-10T08:46:41Z,SUCCESS
AMS.AcceptanceTests.Web,238,2017-02-09T17:04:51Z,SUCCESS
AMS.AcceptanceTests.Web,236,2017-02-09T09:48:52Z,SUCCESS
AMS.AcceptanceTests.Web,236,2017-02-09T09:27:52Z,SUCCESS
AMS.AcceptanceTests.Web,237,2017-02-08T15:40:18Z,SUCCESS
AMS.AcceptanceTests.Web,240,2017-02-08T13:55:57Z,SUCCESS
AMS.AcceptanceTests.Web,253,2017-02-08T10:28:55Z,SUCCESS
AMS.AcceptanceTests.Web,249,2017-02-08T09:45:35Z,SUCCESS
AMS.AcceptanceTests.Web,237,2017-02-07T16:41:13Z,SUCCESS
AMS.AcceptanceTests.Web,250,2017-02-07T10:41:53Z,SUCCESS
AMS.AcceptanceTests.Web,237,2017-02-07T09:17:23Z,SUCCESS
AMS.AcceptanceTests.Web,247,2017-02-07T09:01:06Z,SUCCESS
AMS.AcceptanceTests.Web,250,2017-02-06T16:55:14Z,SUCCESS
AMS.AcceptanceTests.Web,253,2017-02-06T16:44:44Z,SUCCESS
AMS.AcceptanceTests.Web,261,2017-02-06T16:36:03Z,SUCCESS
AMS.AcceptanceTests.Web,237,2017-02-06T15:19:48Z,SUCCESS
AMS.AcceptanceTests.Web,229,2017-02-06T10:48:20Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-02-06T08:47:25Z,SUCCESS
AMS.AcceptanceTests.Web,247,2017-02-03T14:09:10Z,SUCCESS
AMS.AcceptanceTests.Web,233,2017-02-03T13:58:26Z,SUCCESS
AMS.AcceptanceTests.Web,231,2017-02-03T13:54:35Z,SUCCESS
AMS.AcceptanceTests.Web,234,2017-02-03T13:06:40Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-02-03T11:58:25Z,SUCCESS
AMS.AcceptanceTests.Web,249,2017-02-03T11:41:04Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-02-03T10:42:24Z,SUCCESS
AMS.AcceptanceTests.Web,231,2017-02-03T09:41:39Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-02-03T09:25:38Z,SUCCESS
AMS.AcceptanceTests.Web,234,2017-02-02T15:55:26Z,SUCCESS
AMS.AcceptanceTests.Web,230,2017-02-02T14:23:15Z,SUCCESS
AMS.AcceptanceTests.Web,231,2017-02-02T13:09:20Z,SUCCESS
AMS.AcceptanceTests.Web,231,2017-02-02T12:29:14Z,SUCCESS
AMS.AcceptanceTests.Web,237,2017-02-02T12:05:24Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-02-02T11:53:34Z,SUCCESS
AMS.AcceptanceTests.Web,234,2017-02-02T08:52:46Z,SUCCESS
AMS.AcceptanceTests.Web,234,2017-02-01T12:11:14Z,SUCCESS
AMS.AcceptanceTests.Web,233,2017-02-01T10:48:52Z,SUCCESS
AMS.AcceptanceTests.Web,236,2017-02-01T10:06:06Z,SUCCESS
AMS.AcceptanceTests.Web,233,2017-01-30T17:41:03Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-01-30T17:02:11Z,SUCCESS
AMS.AcceptanceTests.Web,233,2017-01-30T13:05:09Z,SUCCESS
AMS.AcceptanceTests.Web,234,2017-01-30T10:16:57Z,SUCCESS
AMS.AcceptanceTests.Web,234,2017-01-30T08:26:01Z,SUCCESS
AMS.AcceptanceTests.Web,233,2017-01-27T17:28:46Z,SUCCESS
AMS.AcceptanceTests.Web,234,2017-01-27T16:29:40Z,SUCCESS
AMS.AcceptanceTests.Web,231,2017-01-27T15:24:45Z,SUCCESS
AMS.AcceptanceTests.Web,233,2017-01-27T13:18:55Z,SUCCESS
AMS.AcceptanceTests.Web,236,2017-01-27T11:22:14Z,SUCCESS
AMS.AcceptanceTests.Web,231,2017-01-26T14:57:21Z,SUCCESS
AMS.AcceptanceTests.Web,233,2017-01-26T14:37:46Z,SUCCESS
AMS.AcceptanceTests.Web,231,2017-01-26T12:30:10Z,SUCCESS
AMS.AcceptanceTests.Web,234,2017-01-26T08:43:24Z,SUCCESS
AMS.AcceptanceTests.Web,232,2017-01-25T12:27:15Z,SUCCESS
AMS.AcceptanceTests.Web,235,2017-01-25T09:32:18Z,SUCCESS
AMS.AcceptanceTests.Web,236,2017-01-25T09:10:12Z,SUCCESS
AMS.AcceptanceTests.Web,229,2017-01-25T08:06:22Z,SUCCESS
AMS.AcceptanceTests.Web,226,2017-01-24T16:29:36Z,SUCCESS
AMS.AcceptanceTests.Web,228,2017-01-24T16:07:46Z,SUCCESS
AMS.AcceptanceTests.Web,231,2017-01-24T14:40:50Z,SUCCESS
AMS.AcceptanceTests.Web,231,2017-01-24T14:20:55Z,SUCCESS
AMS.AcceptanceTests.Web,229,2017-01-24T13:09:30Z,SUCCESS
AMS.AcceptanceTests.Web,230,2017-01-24T10:22:20Z,SUCCESS
AMS.AcceptanceTests.Web,352,2017-01-23T12:35:08Z,SUCCESS
AMS.AcceptanceTests.Web,353,2017-01-23T12:01:07Z,SUCCESS
AMS.AcceptanceTests.Web,242,2017-01-23T11:53:43Z,SUCCESS
AMS.AcceptanceTests.Web,229,2017-01-23T09:02:22Z,SUCCESS
AMS.AcceptanceTests.Web,230,2017-01-23T08:45:27Z,SUCCESS
AMS.AcceptanceTests.Web,228,2017-01-20T17:40:44Z,SUCCESS
AMS.AcceptanceTests.Web,350,2017-01-20T15:00:34Z,SUCCESS
AMS.AcceptanceTests.Web,354,2017-01-20T14:41:59Z,SUCCESS
AMS.AcceptanceTests.Web,351,2017-01-20T11:38:45Z,SUCCESS
