Job name,Duration (seconds),Time of execution,Result
API.ClientLibrary.NET.UnitTest,7,2017-12-07T09:13:00Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-12-06T11:57:38Z,SUCCESS
API.ClientLibrary.NET.UnitTest,7,2017-12-05T16:32:40Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-30T10:36:10Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-30T10:23:00Z,SUCCESS
API.ClientLibrary.NET.UnitTest,7,2017-11-30T09:42:18Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-09T14:06:10Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-09T13:59:45Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-09T13:53:40Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-09T13:42:15Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-09T13:38:40Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-09T11:44:00Z,SUCCESS
API.ClientLibrary.NET.UnitTest,8,2017-11-09T11:39:45Z,SUCCESS
API.ClientLibrary.NET.UnitTest,7,2017-11-09T10:46:35Z,SUCCESS
API.REST.AcceptanceTest,261,2018-02-06T14:30:47Z,SUCCESS
API.REST.AcceptanceTest,260,2018-02-06T14:26:26Z,SUCCESS
API.REST.AcceptanceTest,252,2018-02-06T11:13:33Z,SUCCESS
API.REST.AcceptanceTest,250,2018-02-05T17:24:14Z,SUCCESS
API.REST.AcceptanceTest,247,2018-02-05T15:41:43Z,SUCCESS
API.REST.AcceptanceTest,251,2018-01-30T09:26:25Z,SUCCESS
API.REST.AcceptanceTest,247,2018-01-29T17:05:13Z,SUCCESS
API.REST.AcceptanceTest,247,2018-01-29T15:27:52Z,SUCCESS
API.REST.AcceptanceTest,251,2018-01-29T15:07:31Z,SUCCESS
API.REST.AcceptanceTest,246,2018-01-22T15:33:56Z,SUCCESS
API.REST.AcceptanceTest,240,2018-01-22T09:18:30Z,SUCCESS
API.REST.AcceptanceTest,235,2018-01-18T15:40:49Z,SUCCESS
API.REST.AcceptanceTest,233,2018-01-18T10:59:58Z,SUCCESS
API.REST.AcceptanceTest,244,2018-01-18T09:57:05Z,SUCCESS
API.REST.AcceptanceTest,237,2018-01-18T09:40:45Z,SUCCESS
API.REST.AcceptanceTest,236,2018-01-17T17:09:26Z,SUCCESS
API.REST.AcceptanceTest,233,2018-01-10T15:16:32Z,SUCCESS
API.REST.AcceptanceTest,233,2018-01-08T16:10:30Z,SUCCESS
API.REST.IntegrationTest,55,2018-02-06T14:30:47Z,SUCCESS
API.REST.IntegrationTest,47,2018-02-06T14:26:26Z,SUCCESS
API.REST.IntegrationTest,41,2018-02-06T11:13:33Z,SUCCESS
API.REST.IntegrationTest,44,2018-02-05T17:24:14Z,SUCCESS
API.REST.IntegrationTest,42,2018-02-05T15:41:42Z,SUCCESS
API.REST.IntegrationTest,43,2018-01-30T09:26:25Z,SUCCESS
API.REST.IntegrationTest,40,2018-01-29T17:05:13Z,SUCCESS
API.REST.IntegrationTest,41,2018-01-29T15:27:52Z,SUCCESS
API.REST.IntegrationTest,41,2018-01-29T15:07:31Z,SUCCESS
API.REST.IntegrationTest,41,2018-01-22T15:33:56Z,SUCCESS
API.REST.IntegrationTest,42,2018-01-22T09:18:30Z,SUCCESS
API.REST.IntegrationTest,39,2018-01-18T15:40:49Z,SUCCESS
API.REST.IntegrationTest,39,2018-01-18T10:59:58Z,SUCCESS
API.REST.IntegrationTest,53,2018-01-18T09:57:05Z,SUCCESS
API.REST.IntegrationTest,42,2018-01-18T09:40:45Z,SUCCESS
API.REST.IntegrationTest,40,2018-01-17T17:09:26Z,SUCCESS
API.REST.IntegrationTest,39,2018-01-10T15:16:32Z,SUCCESS
API.REST.IntegrationTest,40,2018-01-08T16:10:30Z,SUCCESS
API.REST.SmokeTests.Run,19,2018-02-07T09:56:50Z,SUCCESS
API.REST.SmokeTests.Run,15,2018-02-07T09:54:10Z,SUCCESS
API.REST.SmokeTests.Run,16,2018-02-07T09:51:40Z,SUCCESS
API.REST.SmokeTests.Run,15,2018-02-07T09:49:15Z,SUCCESS
API.REST.SmokeTests.Run,20,2018-02-07T09:41:35Z,SUCCESS
API.REST.SmokeTests.Run,16,2018-02-06T14:49:22Z,SUCCESS
API.REST.SmokeTests.Run,15,2018-02-06T14:48:47Z,SUCCESS
API.REST.SmokeTests.Run,18,2018-02-06T14:43:52Z,SUCCESS
API.REST.SmokeTests.Run,15,2018-02-06T14:41:42Z,SUCCESS
API.REST.SmokeTests.Run,14,2018-02-06T14:41:12Z,SUCCESS
API.REST.SmokeTests.Run,15,2018-02-06T11:36:53Z,SUCCESS
API.REST.SmokeTests.Run,14,2018-02-06T11:34:43Z,SUCCESS
API.REST.SmokeTests.Run,15,2018-01-30T09:34:20Z,SUCCESS
API.REST.SmokeTests.Run,14,2018-01-30T09:32:25Z,SUCCESS
API.REST.SmokeTests.Run,18,2018-01-29T15:35:57Z,SUCCESS
API.REST.Test,261,2018-02-06T14:30:47Z,SUCCESS
API.REST.Test,260,2018-02-06T14:26:26Z,SUCCESS
API.REST.Test,252,2018-02-06T11:13:33Z,SUCCESS
API.REST.Test,250,2018-02-05T17:24:14Z,SUCCESS
API.REST.Test,247,2018-02-05T15:41:42Z,SUCCESS
API.REST.Test,251,2018-01-30T09:26:25Z,SUCCESS
API.REST.Test,247,2018-01-29T17:05:13Z,SUCCESS
API.REST.Test,247,2018-01-29T15:27:52Z,SUCCESS
API.REST.Test,252,2018-01-29T15:07:31Z,SUCCESS
API.REST.Test,246,2018-01-22T15:33:56Z,SUCCESS
API.REST.Test,240,2018-01-22T09:18:30Z,SUCCESS
API.REST.Test,235,2018-01-18T15:40:49Z,SUCCESS
API.REST.Test,233,2018-01-18T10:59:58Z,SUCCESS
API.REST.Test,244,2018-01-18T09:57:05Z,SUCCESS
API.REST.Test,233,2018-01-10T15:16:32Z,SUCCESS
API.REST.Test,234,2018-01-08T16:10:30Z,SUCCESS
