Job name,Duration (seconds),Time of execution,Result
API.ClientLibrary.NET.UnitTest,7,2017-12-07T09:13:00Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-12-06T11:57:38Z,SUCCESS
API.ClientLibrary.NET.UnitTest,7,2017-12-05T16:32:40Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-30T10:36:10Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-30T10:23:00Z,SUCCESS
API.ClientLibrary.NET.UnitTest,7,2017-11-30T09:42:18Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-09T14:06:10Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-09T13:59:45Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-09T13:53:40Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-09T13:42:15Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-09T13:38:40Z,SUCCESS
API.ClientLibrary.NET.UnitTest,6,2017-11-09T11:44:00Z,SUCCESS
API.ClientLibrary.NET.UnitTest,8,2017-11-09T11:39:45Z,SUCCESS
API.ClientLibrary.NET.UnitTest,7,2017-11-09T10:46:35Z,SUCCESS
API.REST.AcceptanceTest,234,2017-12-14T15:59:02Z,SUCCESS
API.REST.AcceptanceTest,233,2017-12-14T09:28:40Z,SUCCESS
API.REST.AcceptanceTest,235,2017-12-13T16:23:33Z,SUCCESS
API.REST.AcceptanceTest,240,2017-12-12T09:29:22Z,SUCCESS
API.REST.AcceptanceTest,237,2017-12-07T16:55:32Z,SUCCESS
API.REST.AcceptanceTest,234,2017-12-07T16:12:41Z,SUCCESS
API.REST.AcceptanceTest,242,2017-12-05T09:20:50Z,SUCCESS
API.REST.AcceptanceTest,229,2017-11-29T16:07:44Z,SUCCESS
API.REST.AcceptanceTest,231,2017-11-29T15:19:48Z,SUCCESS
API.REST.AcceptanceTest,236,2017-11-29T15:13:27Z,SUCCESS
API.REST.AcceptanceTest,233,2017-11-29T15:09:33Z,SUCCESS
API.REST.AcceptanceTest,229,2017-11-29T10:42:16Z,SUCCESS
API.REST.AcceptanceTest,235,2017-11-29T10:38:21Z,SUCCESS
API.REST.AcceptanceTest,236,2017-11-29T10:21:40Z,SUCCESS
API.REST.AcceptanceTest,232,2017-11-27T11:37:23Z,SUCCESS
API.REST.AcceptanceTest,231,2017-11-27T10:52:28Z,SUCCESS
API.REST.AcceptanceTest,234,2017-11-22T09:54:53Z,SUCCESS
API.REST.AcceptanceTest,232,2017-11-21T15:11:09Z,SUCCESS
API.REST.AcceptanceTest,242,2017-11-21T15:07:07Z,SUCCESS
API.REST.AcceptanceTest,234,2017-11-20T16:10:43Z,SUCCESS
API.REST.AcceptanceTest,231,2017-11-20T10:28:38Z,SUCCESS
API.REST.AcceptanceTest,231,2017-11-16T13:57:24Z,SUCCESS
API.REST.AcceptanceTest,234,2017-11-15T15:29:18Z,SUCCESS
API.REST.AcceptanceTest,240,2017-11-15T15:08:28Z,SUCCESS
API.REST.AcceptanceTest,227,2017-11-15T08:30:00Z,SUCCESS
API.REST.AcceptanceTest,239,2017-11-14T15:34:12Z,SUCCESS
API.REST.AcceptanceTest,224,2017-11-14T11:11:04Z,SUCCESS
API.REST.AcceptanceTest,226,2017-11-14T10:59:04Z,SUCCESS
API.REST.AcceptanceTest,233,2017-11-14T08:56:38Z,SUCCESS
API.REST.AcceptanceTest,243,2017-11-13T16:09:22Z,SUCCESS
API.REST.IntegrationTest,40,2017-12-14T15:59:02Z,SUCCESS
API.REST.IntegrationTest,40,2017-12-14T09:28:40Z,SUCCESS
API.REST.IntegrationTest,47,2017-12-12T09:29:22Z,SUCCESS
API.REST.IntegrationTest,42,2017-12-07T16:55:32Z,SUCCESS
API.REST.IntegrationTest,43,2017-12-07T16:12:41Z,SUCCESS
API.REST.IntegrationTest,44,2017-12-05T09:20:50Z,SUCCESS
API.REST.IntegrationTest,38,2017-11-29T16:07:44Z,SUCCESS
API.REST.IntegrationTest,39,2017-11-29T15:19:48Z,SUCCESS
API.REST.IntegrationTest,47,2017-11-29T15:13:27Z,SUCCESS
API.REST.IntegrationTest,40,2017-11-29T15:09:33Z,SUCCESS
API.REST.IntegrationTest,43,2017-11-29T10:42:16Z,SUCCESS
API.REST.IntegrationTest,38,2017-11-29T10:38:21Z,SUCCESS
API.REST.IntegrationTest,39,2017-11-29T10:21:40Z,SUCCESS
API.REST.IntegrationTest,37,2017-11-27T11:37:23Z,SUCCESS
API.REST.IntegrationTest,40,2017-11-27T10:52:28Z,SUCCESS
API.REST.IntegrationTest,39,2017-11-27T10:26:58Z,SUCCESS
API.REST.IntegrationTest,40,2017-11-22T09:54:53Z,SUCCESS
API.REST.IntegrationTest,44,2017-11-21T15:11:09Z,SUCCESS
API.REST.IntegrationTest,39,2017-11-21T15:07:07Z,SUCCESS
API.REST.IntegrationTest,40,2017-11-20T16:10:43Z,SUCCESS
API.REST.IntegrationTest,40,2017-11-20T10:28:38Z,SUCCESS
API.REST.IntegrationTest,40,2017-11-16T13:57:24Z,SUCCESS
API.REST.IntegrationTest,39,2017-11-15T15:29:18Z,SUCCESS
API.REST.IntegrationTest,39,2017-11-15T15:08:28Z,SUCCESS
API.REST.IntegrationTest,40,2017-11-15T08:30:00Z,SUCCESS
API.REST.IntegrationTest,39,2017-11-14T15:34:12Z,SUCCESS
API.REST.IntegrationTest,40,2017-11-14T11:11:04Z,SUCCESS
API.REST.IntegrationTest,41,2017-11-14T10:59:04Z,SUCCESS
API.REST.IntegrationTest,43,2017-11-14T08:56:38Z,SUCCESS
API.REST.IntegrationTest,43,2017-11-13T16:09:22Z,SUCCESS
API.REST.SmokeTests.Run,14,2017-12-14T16:10:22Z,SUCCESS
API.REST.SmokeTests.Run,14,2017-12-14T16:07:17Z,SUCCESS
API.REST.SmokeTests.Run,14,2017-12-14T16:04:22Z,SUCCESS
API.REST.SmokeTests.Run,16,2017-12-14T16:01:42Z,SUCCESS
API.REST.SmokeTests.Run,13,2017-12-14T15:59:27Z,SUCCESS
